2021-08-16 10:59:02,463 204579   1629125942	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_outRate.count    	235
2021-08-16 10:59:02,464 204580   1629125942	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_outRate.mean_rate	1.3055016037725381E-6
2021-08-16 10:59:02,723 204839   1629125942	pi3-r1-m2-l1-p4.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fefb:438:33246=74}, messageBytes={9-2=22030}}
2021-08-16 10:59:02,724 204840   1629125942	pi3-r1-m2-l1-p4.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=4500, sys-ms=2320}
2021-08-16 10:59:02,735 204851   1629125942	pi3-r1-m2-l2-p3.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={}, messageBytes={}}
2021-08-16 10:59:02,736 204852   1629125942	pi3-r1-m2-l2-p3.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=2850, sys-ms=1210}
2021-08-16 10:59:03,437 205553   1629125943	pi3-r1-m2-l2-p1.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={}, messageBytes={}}
2021-08-16 10:59:03,437 205553   1629125943	pi3-r1-m2-l2-p1.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=3330, sys-ms=1210}
2021-08-16 10:59:03,779 205895   1629125943	pi3-r1-m2-l3-p2.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={}, messageBytes={}}
2021-08-16 10:59:03,781 205897   1629125943	pi3-r1-m2-l3-p2.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=2910, sys-ms=1240}
2021-08-16 10:59:06,656 208772   1629125946	pi3-r1-m2-l2-p1.pi3lan.local:6700	  5:v3         	tuple_inRate.count     	183
2021-08-16 10:59:06,656 208772   1629125946	pi3-r1-m2-l2-p1.pi3lan.local:6700	  5:v3         	tuple_inRate.mean_rate 	9.973421215103227E-7
2021-08-16 10:59:06,656 208772   1629125946	pi3-r1-m2-l2-p1.pi3lan.local:6700	  5:v3         	tuple_outRate.count    	183
2021-08-16 10:59:06,657 208773   1629125946	pi3-r1-m2-l2-p1.pi3lan.local:6700	  5:v3         	tuple_outRate.mean_rate	9.973434438590484E-7
2021-08-16 10:59:07,036 209152   1629125946	pi3-r1-m2-l3-p2.pi3lan.local:6700	  7:v5         	tuple_inRate.count     	183
2021-08-16 10:59:07,037 209153   1629125946	pi3-r1-m2-l3-p2.pi3lan.local:6700	  7:v5         	tuple_inRate.mean_rate 	9.973099585573247E-7
2021-08-16 10:59:07,038 209154   1629125946	pi3-r1-m2-l3-p2.pi3lan.local:6700	  7:v5         	tuple_outRate.count    	183
2021-08-16 10:59:07,039 209155   1629125946	pi3-r1-m2-l3-p2.pi3lan.local:6700	  7:v5         	tuple_outRate.mean_rate	9.97311116630783E-7
2021-08-16 10:59:23,946 226062   1629125963	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_inRate.count     	264
2021-08-16 10:59:23,947 226063   1629125963	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_inRate.mean_rate 	1.4664965512010176E-6
2021-08-16 10:59:23,948 226064   1629125963	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_outRate.count    	0
2021-08-16 10:59:23,948 226064   1629125963	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_outRate.mean_rate	0.0
